"Dendritic cell"	"Natural killer (NK) cell"	"CD4+ T cell"	"B cell"	"Monocyte:CD16-"	"Natural killer T (NKT) cell"	"Naive CD4+ T cell"	"Monocyte:CD16+"	"Neutrophil"	"Naive CD8+ T cell"	"Regulatory T (Treg) cell"	"Plasma cell"	"Megakaryocyte"	"Plasmacytoid dendritic cell"	"MKI67+ progenitor cell"	"Exhausted CD8+ T cell"	"Macrophages"	"Endothelial cell"	"Mast cell"	"Fibroblast"	"keratinocyte"	"Basal cell"	"Myofibroblast"
"GNB2L1"	9.68572603866722	7.23942598187311	12.7632859459975	12.9130434782609	9.95186591218394	8.14679632343146	11.757915486017	11.2933253516911	5.55520197428237	13.9627263045793	10.3722627737226	18.9433962264151	0.282625313967457	15.6843657817109	11.4425587467363	12.0151515151515	0.0348896870189841	0.0363897534115394	0.0163265306122449	0.0102097130242826	0	0	0
"GLTSCR2"	1.18983957219251	1.61329305135952	3.37572750691728	3.16131766985588	1.43463935248191	2.02297855335021	3.44265122582235	2.19066147859922	0.826925574749968	3.54916577919773	2.55839416058394	2.18867924528302	0.0551490662880856	2.22713864306785	1.42689295039164	3.46969696969697	0.00974858902001026	0.00454871917644242	0.00408163265306122	0	0	0	0
"MARCH1"	0.664952694364459	0.295468277945619	0.010781413987215	1.0959186145089	1.3898717856887	0.185093912348475	0.0104718492053714	1.25591140377133	0.810040264969477	0.012779552715655	0.010036496350365	0.19811320754717	0.0312329365512722	0.702064896755162	0.160574412532637	0.0303030303030303	0.49871729091842	0.00742159444577448	0.0122448979591837	0.0115894039735099	0.00468448608432075	0.00973774482682306	0.00314267756128221
"KLF2"	1.29164952694364	4.40808157099698	5.64602614254365	6.36066367930241	4.10450540792207	4.88457439722925	4.02550203277073	8.81652199940138	2.35524094038187	4.26411075612354	4.54835766423358	5.00943396226415	0.977175930981763	1.19616519174041	3.65665796344648	4.84848484848485	0.478707029245767	4.24563083552789	0.0693877551020408	1.38852097130243	0.209561862772114	0.3837556711298	3.1781898177247
"RPL18A"	55.4736733854381	16.3054380664653	33.2963457685335	38.0375439021436	20.0026502399542	20.0848541361396	30.4496735247012	25.6593834181383	11.5302636706066	35.5346112886049	25.0574817518248	43.6415094339623	14.8456918204652	31.6091445427729	30.2793733681462	29.8181818181818	12.0584915341201	19.3478573138616	2.42448979591837	19.8600993377483	20.6945439515018	52.3590793404891	18.5141420490258
"TXNIP"	5.4103249691485	10.407250755287	11.7339948478199	13.9566428484922	10.6140677601891	10.0709337951246	10.3989158556117	16.1502544148459	5.44979867515262	11.977990770323	9.34762773722628	8.68867924528302	1.40701102981326	5.39233038348083	4.64360313315927	10.7424242424242	2.45818368394048	8.22911180272923	1.29795918367347	2.05849889624724	0.888812344998622	1.23127143963705	2.31709616593338
"RPS23"	63.2408473879062	19.2255287009063	37.4414655090163	41.8725929514351	19.6651386003868	23.4344611695751	40.9834914377233	27.8425621071535	11.4848032211976	48.7607383741569	26.1697080291971	41.7169811320755	13.7575625204761	51.4410029498525	35.3381201044386	34.3106060606061	14.821446895844	36.6119224323677	5.42857142857143	28.8294701986755	9.90920363736567	52.9600531149718	28.8931489629164
"RPS5"	24.1336898395722	7.41110271903323	16.0681232706803	17.6275887126075	6.00458419883962	9.17210603436792	17.1693975606751	8.95899431307992	3.56643719963632	21.5406460773873	11.3138686131387	26.5283018867925	6.41345418805286	17.3598820058997	18.0313315926893	14.5909090909091	6.00718317085685	16.202058893943	2.20408163265306	14.6509381898455	8.29567373932213	31.1711851278079	17.4817724701446
"FAM65B"	0.824763471822295	1.74184290030211	1.94647457303692	2.63424972750394	1.6140677601891	1.71086985480218	1.82234815818652	2.8644118527387	1.18242628912846	1.94533191338303	1.49361313868613	1.91509433962264	0.0484874959047723	1.67256637168142	1.52872062663185	2.26515151515152	0.000513083632632119	0.00119703136222169	0	0	0	0	0
"RPS11"	30.7346770876183	9.80415407854985	15.3598893235378	22.3867021920794	17.1719074564859	10.3496736379379	14.970555623999	17.8551331936546	9.91492401610599	17.2768903088392	12.1934306569343	23.877358490566	5.90542754177132	29.330383480826	18.6710182767624	14.6060606060606	10.728065674705	18.9844385922911	4.17142857142857	15.2593818984547	7.90121245522182	32.0086311829147	15.9783155248272
"RPS27"	108.157136980666	36.2941087613293	74.4816334319244	71.8910015744217	26.3054938757969	49.8347542293859	75.3194529998768	39.9676743489973	16.1752825042213	82.0035498757543	53.5428832116788	55.5754716981132	37.9272687561428	58.712389380531	41.4660574412533	66.5757575757576	21.8671113391483	27.9731864974862	5.64489795918367	28.1103752759382	31.6715348580876	46.6914905388956	35.9654305468259
"RPSA"	19.6785273549979	7.74652567975831	18.1030436027097	15.4863751968027	5.34861399613208	10.08405488211	15.4975976345941	7.53307392996109	3.39141446941161	18.9165779197728	11.8001824817518	17.311320754717	6.07458774707874	16.1356932153392	22.1462140992167	15.5984848484848	4.64186762442278	9.52094804883888	1.77142857142857	9.12444812362031	2.73821989528796	19.5741949762089	10.2925832809554
