"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NCOA1",6.33743308107122e-36,0.646911273550609,0.503,0.147,1.78645901122317e-31,"17","NCOA1"
"ISG151",8.57580884561069e-36,1.2304205573092,0.696,0.268,2.4174347554892e-31,"17","ISG15"
"LEF12",8.66413776079379e-36,0.804194853044162,0.702,0.261,2.44233379339016e-31,"17","LEF1"
"TPGS1",8.77457080562465e-36,0.509486431898034,0.427,0.111,2.47346376439753e-31,"17","TPGS1"
"LRIG1",1.1045521244167e-35,0.372824596508489,0.205,0.033,3.11362198351822e-31,"17","LRIG1"
"CLEC2D",1.33367480554382e-35,0.917142356562484,0.895,0.488,3.75949590934746e-31,"17","CLEC2D"
"ACP5",2.44348869084334e-35,0.352041174855102,0.257,0.048,6.88795027061829e-31,"17","ACP5"
"TPP1",2.59267133537412e-35,0.550273311722567,0.474,0.133,7.3084812272861e-31,"17","TPP1"
"FAM107B",2.84304741970932e-35,1.01346875510825,0.912,0.627,8.01426637141859e-31,"17","FAM107B"
"CHCHD5",3.13906509307191e-35,0.576581648177142,0.515,0.153,8.8487105908604e-31,"17","CHCHD5"
"TACC3",3.31104641253933e-35,0.369416413380181,0.333,0.074,9.33350873230711e-31,"17","TACC3"
"TNIP1",3.83344659137016e-35,0.517210225077549,0.526,0.156,1.08061025964133e-30,"17","TNIP1"
"MSL3",4.00886847209412e-35,0.712066462057466,0.661,0.237,1.13005993359861e-30,"17","MSL3"
"CXCR3",4.58987143138041e-35,0.454366127394455,0.234,0.042,1.29383885779182e-30,"17","CXCR3"
"TRBC23",5.72329018841561e-35,1.19603695829668,0.947,0.66,1.61333827121248e-30,"17","TRBC2"
"MYL6",6.53561273580655e-35,0.799416201664288,0.988,0.848,1.84232387409651e-30,"17","MYL6"
"ATG3",6.89732860861891e-35,0.548563743815144,0.509,0.15,1.94428796148358e-30,"17","ATG3"
"RAP1GDS1",7.17605387078493e-35,0.498035957871561,0.421,0.11,2.02285782563556e-30,"17","RAP1GDS1"
"CD811",8.5754977977809e-35,1.04701399561088,0.877,0.465,2.41734707421646e-30,"17","CD81"
"CMTM7",9.21673435702227e-35,0.612364267070097,0.45,0.125,2.59810524790101e-30,"17","CMTM7"
