"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SPRR2D",1.66312440236255e-104,1.13144255862024,0.577,0.353,4.6881813778198e-100
"RPS15A",2.66551651962767e-104,-0.336937718855419,0.959,0.992,7.51382451717845e-100
"RPL10A",1.8574160007081e-103,-0.377623872226963,0.932,0.982,5.23586996439606e-99
"RPS14",1.01539228899156e-102,-0.325460364111687,0.976,0.996,2.86228932343832e-98
"RPS8",5.73227304668534e-102,-0.340151921224207,0.984,0.996,1.61587044913013e-97
"ALDH3A1",4.14512338486243e-101,-0.374145015067626,0.181,0.422,1.16846883095887e-96
"SPRR2E",4.22472241082965e-101,1.53647738773647,0.609,0.399,1.19090700038877e-96
"ALDH3A2",6.20394394939077e-101,-0.353447099912031,0.454,0.688,1.74882975989376e-96
"NFIB",1.02327047550097e-100,-0.404793114115383,0.232,0.478,2.88449714338969e-96
"FBXW7",7.41450398383086e-100,-0.395126823277487,0.369,0.602,2.09007452800208e-95
"IL36G",4.09287282039514e-99,0.766852594540961,0.418,0.184,1.15373991934119e-94
"POU3F1",4.81439123090674e-99,-0.386618713510665,0.393,0.634,1.3571287440803e-94
"RPS6",5.71963435316439e-99,-0.31144923014825,0.97,0.999,1.61230772781351e-94
"TCN1",1.05271978511175e-98,0.816569954662373,0.423,0.192,2.96751180225151e-94
"CAV1",1.64755651687332e-98,-0.437078452188209,0.167,0.412,4.64429706541421e-94
"NOP53",4.62455965109876e-98,-0.37445553514664,0.612,0.806,1.30361712004823e-93
"SBSN",5.77710018774909e-98,0.801714070012522,0.917,0.868,1.62850677192459e-93
"IL18",1.46186259285146e-97,-0.417280485595639,0.51,0.737,4.12084446298899e-93
"RPL5",2.36756182928702e-96,-0.334352089856226,0.94,0.984,6.67392004057718e-92
"CSTB",1.64787294081144e-95,0.76820580369851,0.878,0.898,4.64518903285337e-91
"RPS27",5.15147121804657e-94,-0.400032105945169,0.964,0.997,1.45214822165515e-89
"KRT6B",5.89887369058465e-91,1.18023649090522,0.745,0.647,1.66283350463891e-86
"RPLP0",1.31820317674898e-88,-0.302210361969793,0.954,0.991,3.71588293493769e-84
"SPRR1B",1.70443997517079e-86,1.07174227687948,0.692,0.541,4.80464584600893e-82
"MT1X",2.21552353515098e-85,-0.680491041233977,0.509,0.753,6.24533929323711e-81
"CSTA",4.75518222637763e-85,1.19021219728535,0.863,0.88,1.34043831779359e-80
"SYNE2",1.94075028278512e-84,-0.333846593874373,0.431,0.664,5.47078097214297e-80
"IVL",6.36219059599913e-84,1.09091257960535,0.57,0.384,1.7934379071062e-79
"RPSA",8.51667234339748e-84,-0.354068996220186,0.898,0.973,2.40076476688031e-79
"C12orf57",9.50516356381303e-83,-0.308697655785853,0.578,0.779,2.67941055700325e-78
"SPINK5",8.64529940270541e-82,1.03972460627771,0.831,0.817,2.43702344862863e-77
"KRT15",8.70082511663768e-82,-0.838801527183547,0.085,0.276,2.45267559212899e-77
"BCL11A",4.82327567648635e-81,-0.358902735526298,0.321,0.538,1.35963318044474e-76
"LAMTOR4",7.83711243431862e-81,-0.374752655731166,0.631,0.813,2.20920362411008e-76
"RPL7A",2.69927889336314e-80,-0.320209155297342,0.967,0.992,7.60899727250137e-76
