"Natural killer (NK) cell"	"CD4+ T cell"	"Monocyte:CD16+"	"Monocyte:CD16-"	"Naive CD4+ T cell"	"Natural killer T (NKT) cell"	"Neutrophil"	"Megakaryocyte"	"B cell"	"Dendritic cell"	"Regulatory T (Treg) cell"	"Naive CD8+ T cell"	"Plasmacytoid dendritic cell"	"Plasma cell"	"Exhausted CD8+ T cell"	"MKI67+ progenitor cell"	"Endothelial cell"	"Macrophages"	"Mast cell"	"keratinocyte"	"Basal cell"	"Myofibroblast"	"Fibroblast"
"EZR"	0.684854643456747	0.883708940933864	1.6686517389233	0.810741874362338	0.27917854271724	0.930025810151993	0.327804993212536	1.46271116604862	1.80222580919208	2.41011705685619	1.010550996483	0.368995215311005	1.05215827338129	2.41538461538462	0.730923694779116	2.85553470919325	1.07833733013589	5.5655737704918	0.884210526315789	6.17835414665386	6.9967027790862	1.11924686192469	0.461333333333333
"RPS11"	9.04886454007246	13.0410222418618	16.3470700333492	16.5758635767381	12.3426149236279	9.6022368798394	8.24552912707313	8.0758137618459	20.7823464446521	43.4264214046823	10.2262602579132	15.1244019138756	30.7077338129496	23.8269230769231	11.6064257028112	21.4915572232645	25.1910471622702	15.9808743169399	4.52631578947368	6.59205891770733	50.7074894017899	16.5481171548117	17.19
"RPL18A"	13.9160554917381	25.6891294741494	21.9928537398761	18.4935140650051	22.1479938609954	17.4824586559602	9.07300950244939	11.7676143386897	30.9158100416277	50.2052675585284	19.1318874560375	28.0208612440191	31.9514388489209	31.7307692307692	23.5823293172691	30.2476547842402	13.9048760991207	10.4754098360656	0.715789473684211	11.5392251040666	30.1003297220914	9.52824267782427	8.22266666666667
"TSC22D3"	3.42153397543519	4.82140226837531	5.79252024773702	3.75484623232765	2.05386245706351	4.35350348915018	1.84211768872101	1.93531108364236	5.93755840625265	5.07734113712375	3.77960140679953	3.36306220095694	2.63129496402878	2.53076923076923	4.14056224899598	3.01688555347092	1.55875299760192	0.740437158469945	0.357894736842105	0.0365033621517771	0.403203014601978	1.5418410041841	2.52133333333333
"JUND"	6.38101970486878	7.36139343054942	11.3773225345403	10.289389301851	3.42512606884455	7.1141382277029	4.58714513368353	5.5409971157808	11.4559510661796	14.1810200668896	5.87631887456037	4.87081339712919	11.3642086330935	4.72307692307692	7.16465863453815	8.63602251407129	18.1454836131095	11.5956284153005	10.1368421052632	1.20941402497598	18.4503061705134	19.5177824267782	14.9146666666667
"POU2F2"	0.732217018644517	0.287155693032847	4.46236303001429	2.22970412476315	0.19769056493459	0.504492878309913	0.93962108245293	0.446641944787804	1.66595871208903	2.0752508361204	0.294841735052755	0.244019138755981	0.633992805755396	1.25384615384615	0.224899598393574	0.767354596622889	0.294164668265388	1.22404371584699	0.0210526315789474	0.103746397694524	0.3843617522374	0.147489539748954	0.181333333333333
"PRKCB"	0.763895025183353	0.355427898070408	1.80228680323964	1.38434630520332	0.225973836147044	0.688414109549756	0.678392256389069	0.688916357643181	1.49460538611843	1.40091973244147	0.324736225087925	0.32133971291866	2.30035971223022	1.43461538461538	0.369477911646586	1.26641651031895	0.195843325339728	1.92896174863388	0.747368421052632	0.0172910662824208	0.439943476212906	0.0732217573221757	0.132
"SP100"	0.876513210214721	0.770732066578288	0.981657932348737	0.894111645532721	0.525908061097712	0.829748590000956	0.483090361801334	0.553358055212196	1.5508452977657	1.33612040133779	0.733880422039859	0.584497607655502	0.882194244604317	1.49615384615385	1.90361445783133	1.62851782363977	3.9912070343725	0.543715846994536	0.126315789473684	0.0246557796990074	0.59349976448422	0.662133891213389	0.945333333333333
"RPS5"	6.41923654678802	11.98151421417	7.47498808956646	5.56413059320799	12.0151282613462	7.82090622311442	2.89252198548073	6.54552946023898	14.3438110610823	22.2370401337793	8.59613130128957	16.2066985645933	17.4253597122302	20.4269230769231	10.8232931726908	20.0281425891182	24.031175059952	8.76502732240437	1.74736842105263	7.68715978226065	51.2209138012247	16.7458158995816	14.4586666666667
"REL"	0.842184324467615	0.317204301075269	2.02286803239638	1.37377933245883	0.169261126945845	0.615858904502438	0.600956147081391	1.52822414503502	1.49621952255543	3.10994983277592	0.375732708089097	0.230813397129187	1.20953237410072	0.492307692307692	0.236947791164659	1.54971857410882	3.83693045563549	10.4644808743169	1.62105263157895	1.69612552033301	3.73386716910033	1.96338912133891	1.664
