"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITGB71",5.45981129122901e-184,0.875723411140246,0.574,0.109,1.53906620488454e-179,"17","ITGB7"
"MANF2",2.86588067152904e-183,1.41243488782588,0.672,0.163,8.0786310249732e-179,"17","MANF"
"CRELD2",3.65156070936933e-183,0.947028661289054,0.609,0.124,1.02933844836412e-178,"17","CRELD2"
"PDLIM11",3.7319512014297e-180,0.446291657229552,0.383,0.05,1.05199972417102e-175,"17","PDLIM1"
"IGLC31",3.32720801490124e-179,8.14294078250633,0.317,0.037,9.3790666732051e-175,"17","IGLC3"
"ST6GALNAC41",1.06997423128423e-173,0.443868553776021,0.418,0.06,3.01615036056712e-169,"17","ST6GALNAC4"
"RALGPS21",1.56986807903003e-172,0.768026711837925,0.536,0.094,4.42530112797776e-168,"17","RALGPS2"
"ELL22",2.93616215891098e-169,0.705431712271797,0.552,0.103,8.27674750975416e-165,"17","ELL2"
"ERLEC1",5.42314385188106e-168,1.3375431396946,0.669,0.174,1.52873002040675e-163,"17","ERLEC1"
"PDIA42",3.10599254348651e-166,1.71365979271572,0.721,0.223,8.75548238083413e-162,"17","PDIA4"
"PIM2",4.83184170621947e-166,0.634622553822237,0.497,0.086,1.36204785856621e-161,"17","PIM2"
"CEP97",7.18087633978206e-166,0.339607250574111,0.32,0.038,2.02421723142116e-161,"17","CEP97"
"PDIA5",1.27799514370919e-161,0.305007653804792,0.265,0.027,3.60254051060182e-157,"17","PDIA5"
"COL18A1",2.72364540101003e-157,0.322668976503171,0.249,0.025,7.67768402090716e-153,"17","COL18A1"
"SLAMF1",3.56907514333129e-156,0.311300158778766,0.235,0.023,1.00608659215366e-151,"17","SLAMF1"
"EAF21",5.94382190659908e-152,1.03873837296472,0.607,0.144,1.67550395725121e-147,"17","EAF2"
"SRPRB",4.70776347158353e-145,0.539755335426356,0.497,0.094,1.32707144500468e-140,"17","SRPRB"
"IKZF31",2.44907089849586e-143,0.605220232304427,0.503,0.096,6.90368595576997e-139,"17","IKZF3"
"IRF41",7.58076211982089e-141,1.00195206424868,0.443,0.081,2.13694103395631e-136,"17","IRF4"
"HSP90B11",9.65586001707644e-139,2.90634212001461,0.902,0.675,2.72189038021368e-134,"17","HSP90B1"
"TMEM263",1.60893431812718e-137,0.331353733103615,0.322,0.044,4.53542494936869e-133,"17","TMEM263"
"TRAM2",4.78518200699159e-136,0.443524521978674,0.361,0.055,1.34889495595086e-131,"17","TRAM2"
"PDK1",4.61400519257143e-133,0.641799812510845,0.503,0.102,1.30064192373396e-128,"17","PDK1"
"TXNDC11",2.22622233420736e-127,0.768942931349199,0.59,0.147,6.27549813789712e-123,"17","TXNDC11"
"SUB12",8.75478923480454e-127,1.80512466062695,0.902,0.788,2.46788753739905e-122,"17","SUB1"
"PPIB1",2.84017807431235e-126,2.56472295287352,0.861,0.641,8.00617797367909e-122,"17","PPIB"
"CD79B2",3.17878721390029e-126,0.623199291808529,0.577,0.129,8.96068327726352e-122,"17","CD79B"
"HIBCH",5.00525872152688e-126,0.456112853507003,0.393,0.069,1.41093238101121e-121,"17","HIBCH"
"SDF2L11",9.48405306169451e-125,1.35469264304707,0.689,0.241,2.67345971756107e-120,"17","SDF2L1"
"MAN1A12",4.37598948643596e-123,1.03844455175811,0.631,0.181,1.23354767633143e-118,"17","MAN1A1"
"C15orf57",1.24995158777065e-116,0.572943319393437,0.486,0.107,3.52348853076668e-112,"17","C15orf57"
"EIF2AK3",2.04178865752666e-115,0.326923990567317,0.317,0.049,5.75559804670191e-111,"17","EIF2AK3"
"SPCS21",4.29980608937586e-114,1.64513364451452,0.792,0.47,1.21207233853416e-109,"17","SPCS2"
"NUCB21",8.05180282866762e-114,0.870813126711966,0.607,0.166,2.26972269937312e-109,"17","NUCB2"
"XBP11",9.04037324039901e-114,1.76480222090925,0.776,0.385,2.54839081273608e-109,"17","XBP1"
"SSR41",9.75819729452662e-112,2.25324580115846,0.852,0.753,2.75073823535411e-107,"17","SSR4"
"B4GALT3",1.27778911959577e-110,0.418231194442748,0.445,0.093,3.60195974922852e-106,"17","B4GALT3"
"SP1401",1.16794467619351e-108,0.482089575414506,0.448,0.096,3.29231924772188e-104,"17","SP140"
"HSPA13",6.34431996955811e-108,0.363386300285242,0.41,0.081,1.78840035621873e-103,"17","HSPA13"
"UAP1",2.68296142954669e-107,0.343874632999269,0.328,0.056,7.56299997374917e-103,"17","UAP1"
"TCF31",2.6829903435294e-106,0.472910093771475,0.421,0.088,7.56308147937504e-102,"17","TCF3"
"CHST121",1.01446257543407e-102,0.383339097655851,0.443,0.096,2.8596685538911e-98,"17","CHST12"
"HYOU11",1.70390649743843e-102,0.532369203216715,0.426,0.093,4.80314202562919e-98,"17","HYOU1"
"SETBP11",1.88830753861458e-102,0.351559223683166,0.273,0.042,5.32295012060063e-98,"17","SETBP1"
"ZBTB38",8.83003813701035e-102,0.74705875890339,0.604,0.179,2.48909945044185e-97,"17","ZBTB38"
"DCPS1",1.10144584882595e-100,0.406314301321793,0.445,0.1,3.10486570325548e-96,"17","DCPS"
"CCDC167",1.95641729308242e-99,0.650166932814273,0.475,0.12,5.51494470747002e-95,"17","CCDC167"
"MYDGF1",4.4651445177931e-99,1.50352785804541,0.749,0.364,1.2586795881207e-94,"17","MYDGF"
"TMEM238",1.11235322825559e-98,0.345867719367778,0.383,0.077,3.13561251512968e-94,"17","TMEM238"
"TP53INP1",1.42705156790169e-95,0.798680998075734,0.568,0.167,4.02271566475807e-91,"17","TP53INP1"
"CHD71",1.98660050426489e-93,0.350774396406621,0.331,0.062,5.60002816147229e-89,"17","CHD7"
